outcode,sales,median_price,mean_price,total_crimes,violent_crimes,crimes_per_sale
MK17,415,465000.0,520570.0,34,12,0.1
MK8,286,408498.0,385846.0,785,326,2.7
MK10,276,402500.0,384788.0,1927,676,7.0
MK5,166,400000.0,446713.0,1174,542,7.1
MK4,268,385000.0,385916.0,1449,583,5.4
MK1,8,366250.0,380438.0,2905,1026,363.1
MK19,187,365000.0,413564.0,69,28,0.4
MK7,137,350000.0,397640.0,1092,478,8.0
MK15,84,330250.0,402152.0,332,99,4.0
MK3,340,328750.0,327002.0,1239,624,3.6
MK11,160,327500.0,359250.0,1221,537,7.6
MK14,173,325000.0,356661.0,1254,423,7.2
MK12,152,308250.0,307433.0,1509,620,9.9
MK2,139,297000.0,281957.0,1078,499,7.8
MK13,160,290000.0,315865.0,1491,681,9.3
MK6,162,270000.0,271243.0,4377,2026,27.0
MK9,57,230000.0,237621.0,4714,1318,82.7
